"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT08","WT11","WT14","WT16","WT18"
"USC00047916","SANTA CRUZ, CA US","1893-01-01","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-02","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-03","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-04","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-05","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-06","0.00",,,,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-07","0.00",,,,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-08","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-09","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-10","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-11","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-12","0.00",,,,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-13","0.00",,,,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-14","0.00",,,,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-15","1.25",,,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-01-16","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-17","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-18","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-19","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-20","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-21","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-22","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-23","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-24","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-25","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-01-26","2.25",,,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-01-27","0.35",,,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-01-28","0.15",,,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-01-29","0.85",,,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-01-30","0.45",,,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-01-31","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-02-01","0.60",,,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-02-02","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-02-03","0.20",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-02-04","0.65",,,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-02-05","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-02-06","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-02-07","0.60",,,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-02-08","2.00",,,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-02-09","0.20",,,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-02-10","0.00",,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-02-11","0.00",,,,,,,,,,,,
